placename,oc_lat,oc_lng,oc_formatted
Bispebjerg Hospital,55.7145572,12.5401798,"Bispebjerg Hospital, Charlotte Muncks Vej, 2400 København NV, Denmark"
Bornholms hospital,55.0916801,14.7076875,"Bornholms Hospital, Ullasvej, 3700 Rønne, Denmark"
Frederiksberg Hospital,55.6863882,12.5226046,"Frederiksberg Hospital, Duevej, 1951 Frederiksberg C, Denmark"
Gentofte Hospital,55.7391397,12.5464386,"Gentofte Hospital, Kildegårdsvej, 2900 Hellerup, Denmark"
Hvidovre Hospital,55.6484897,12.4669448,"Hvidovre Hospital, Dunkær, 2650 Hvidovre, Denmark"
Hillerød Hospital,55.931628,12.3266841,"Hillerød Hospital, Helsevej, 3400 Hillerød, Denmark"
Nordsjællands Hospital – Frederikssund,55.848271,12.0849495,"Nordsjællands Hospital – Frederikssund, Frederikssundsvej, 3600 Frederikssund, Denmark"
Rigshospitalet,55.6965869,12.5666453,"Rigshospitalet, Frederik V's Vej, 1355 København K, Denmark"
Rigshospital Glostrup,55.6666,12.40377,"Glostrup, Glostrup Kommune, Denmark"
Helsingør Sundhedshus,56.0193339,12.5687885,"Helsingør Sundhedshus, Birkedalsvej, 3070 Snekkersten, Denmark"
"Nørregade 19, 9330 Dronninglund",57.162112,10.288851,"Nørregade 19, 9330 Dronninglund, Denmark"
"Sygehusvej 6, 9460 Brovst",57.094094,9.521722,"Sygehusvej 6, 9460 Brovst, Denmark"
"Hadsundvej 32, 9575 Terndrup",56.811154,10.056601,"Hadsundvej 32, 9575 Terndrup, Denmark"
Toftegade 23 7900 Nykøbing mors,56.79385,8.858454,"Toftegade 23, 7900 Nykøbing, Denmark"
Grenaa Sundhedshus,56.4184433,10.8634741,"Grenaa Sundhedshus, Sygehusvej, 8500 Grenaa, Denmark"
"Vestergade 23, 8620 Kjellerup",56.16842,9.546447,"Vestergade 23, 8600 Silkeborg, Denmark"
"Randlevvej 2, 8300 Odder",55.971919,10.153107,"Randlevvej 2G, 8300 Odder, Denmark"
"Agerbølvej 2, 7323 Give",55.8471,9.247174,"Agerbølvej 2A, 7323 Give, Denmark"
"Skolegade 12A, 6650 Brørup",55.48116,9.021867,"Skolegade 12A, 6650 Brørup, Denmark"
"Skallebækvej 7, 6100 Haderslev",55.2435428,9.453762,"Skallebækvej, Haderslev, Denmark"
"Fredericia Sundhedshus, Dronningensgade",55.5628101,9.7662904,"Fredericia Sundhedshus, Dronningensgade, Fredericia, Denmark"
"Rolighedsvej 9, 5400 Bogense",55.567622,10.0904,"Rolighedsvej 9, 5400 Bogense, Denmark"
"Kirkestræde 11, 5600 Faaborg",55.096566,10.245305,"Kirkestræde 11, 5600 Faaborg, Denmark"
"Lindevej 5, 5750 Ringe",55.236468,10.476927,"Lindevej 5, 5750 Ringe, Denmark"
"Sygehusvej 4, 3230 Græsted",56.053411,12.345119,"Sygehusvej 4, 3230 Græsted, Denmark"
"Nørre Alle 27, 4400 Kalundborg",55.68357,11.098525,"Nørre Alle 27, 4400 Kalundborg, Denmark"
"Quistgaardsvej 2, 4220 Korsør",55.325978,11.137297,"Quistgaardsvej 2, 4220 Korsør, Denmark"
Vordingborg Sundhedscenter,55.017452,11.9075342,"Vordingborg Sundhedscenter, Sankelmarksvej, 4760 Vordingborg, Denmark"
"Søndre Boulevard 84, 4930 Maribo",54.765888,11.514051,"Søndre Boulevard 84, 4930 Maribo, Denmark"
Stege Sundhedscenter,54.9869998,12.2822596,"Stege Sundhedscenter, Peblingerende, 4780 Stege, Denmark"
"Hoskiærsvej 17, 4900 Nakskov",54.833371,11.145806,"Hoskiærsvej 17, 4900 Nakskov, Denmark"
"Sygehusvej 20, 8740 Brædstrup",55.973818,9.616701,"Sygehusvej 20, 8740 Brædstrup, Denmark"
"Sygehusvej 7, 8660 Skanderborg",56.033971,9.928551,"Sygehusvej 7, 8660 Skanderborg, Denmark"
"Østergade 30, 7620 Lemvig",56.549895,8.314872,"Østergade 30, 7620 Lemvig, Denmark"
"Samsø Sundheds- og Akuthus, Søtofte",55.830837,10.5910866,"Samsø Sundheds- og Akuthus, Søtofte, 8305 Samsø, Denmark"
"Kirkegade 3, 6880 Tarm",55.809946,8.610036,"Kirkegade 3, 6870 Ølgod, Denmark"
"Usserød Kongevej 102, 2970 Hørsholm",55.891317,12.496444,"Usserød Kongevej 102, 2970 Hørsholm, Denmark"
"Hans Bogbinders Allé 3, 2300 København S",55.654728,12.609173,"Hans Bogbinders Allé 3, 2300 København S, Denmark"
